Degree,Major,Specialization,CGPA,Skills,Certification,Years of Experience,Preferred Industry,Job Role
B.Tech,Computer Science,React Development,6.92,"React, Node.js, MongoDB",HackerRank SQL,3,Product-based,Web Developer
MCA,Information Technology,Web Technologies,9.93,"Vue.js, Express.js, HTML",NPTEL Python,2.5,Tech Consulting,Web Developer
B.E,Information Technology,Web Technologies,6.93,"HTML, CSS, JavaScript",Infosys Springboard,0,Product-based,Web Developer
MCA,Computer Science,UI/UX,8.54,"HTML, CSS, JavaScript",Google Cloud Basics,1.5,IT Services,Web Developer
MCA,AI & ML,UI/UX,8.48,"HTML, CSS, JavaScript",NPTEL Python,2,IT Services,Web Developer
M.Tech,AI & ML,Full Stack Development,8.55,"React, Node.js, MongoDB",Google Cloud Basics,1,Tech Consulting,Web Developer
MCA,Information Technology,Web Technologies,7.08,"React, Node.js, MongoDB",Udemy Java,0.5,Software Development,Web Developer
B.Tech,AI & ML,UI/UX,7.48,"React, Node.js, MongoDB",Google Cloud Basics,1.5,IT Services,Web Developer
MCA,Computer Science,React Development,9.75,"React, Node.js, MongoDB",Infosys Springboard,3,Tech Consulting,Web Developer
B.E,AI & ML,Web Technologies,6.71,"Bootstrap, PHP, MySQL",Udemy Java,0,Startups,Web Developer
M.Tech,Information Technology,Frontend Development,9.6,"React, Node.js, MongoDB",Google Cloud Basics,0.5,Tech Consulting,Web Developer
M.Tech,AI & ML,Web Technologies,6.5,"Bootstrap, PHP, MySQL",Udemy Java,0,Startups,Web Developer
MCA,Computer Science,Frontend Development,9.51,"HTML, CSS, JavaScript",Google Cloud Basics,0,Software Development,Web Developer
B.Tech,Software Engineering,Frontend Development,7.73,"Vue.js, Express.js, HTML",Udemy Java,0,Software Development,Web Developer
B.E,Information Technology,Frontend Development,7.57,"Bootstrap, PHP, MySQL",Google Cloud Basics,2.5,IT Services,Web Developer
M.Tech,Software Engineering,React Development,6.43,"HTML, CSS, JavaScript",Infosys Springboard,1.5,IT Services,Web Developer
M.Tech,Software Engineering,React Development,6.69,"HTML, CSS, JavaScript",Udemy Java,3,Startups,Web Developer
M.Tech,Information Technology,Web Technologies,7.03,"HTML, CSS, JavaScript",Coursera Web Dev,2,IT Services,Web Developer
MCA,Software Engineering,UI/UX,8.94,"React, Node.js, MongoDB",Udemy Java,1.5,Product-based,Web Developer
M.Tech,Computer Science,Full Stack Development,9.54,"Vue.js, Express.js, HTML",Coursera Web Dev,1.5,Startups,Web Developer
MCA,Information Technology,React Development,9.58,"React, Node.js, MongoDB",Google Cloud Basics,2,Software Development,Web Developer
B.Tech,Information Technology,Full Stack Development,7.5,"React, Node.js, MongoDB",HackerRank SQL,3,IT Services,Web Developer
B.E,Software Engineering,Frontend Development,8.48,"Bootstrap, PHP, MySQL",Infosys Springboard,1,Tech Consulting,Web Developer
M.Tech,Information Technology,React Development,9.37,"Bootstrap, PHP, MySQL",Coursera Web Dev,0,Software Development,Web Developer
B.E,Information Technology,UI/UX,6.68,"HTML, CSS, JavaScript",Udemy Java,3,Startups,Web Developer
MCA,Computer Science,UI/UX,7.25,"React, Node.js, MongoDB",Udemy Java,1,Software Development,Web Developer
B.Tech,Information Technology,Frontend Development,9.73,"Bootstrap, PHP, MySQL",Google Cloud Basics,2,Software Development,Web Developer
B.Tech,AI & ML,Frontend Development,6.76,"Bootstrap, PHP, MySQL",NPTEL Python,0.5,IT Services,Web Developer
M.Tech,AI & ML,React Development,6.15,"Bootstrap, PHP, MySQL",Udemy Java,0,Product-based,Web Developer
M.Tech,AI & ML,Frontend Development,9.54,"Bootstrap, PHP, MySQL",HackerRank SQL,3,IT Services,Web Developer
B.Tech,Software Engineering,Frontend Development,7.77,"React, Node.js, MongoDB",NPTEL Python,2,Product-based,Web Developer
B.E,Computer Science,UI/UX,9.76,"HTML, CSS, JavaScript",Infosys Springboard,2.5,Product-based,Web Developer
B.Tech,Information Technology,Web Technologies,9.79,"Vue.js, Express.js, HTML",Coursera Web Dev,3,IT Services,Web Developer
B.Tech,Computer Science,React Development,6.03,"HTML, CSS, JavaScript",Coursera Web Dev,2,Tech Consulting,Web Developer
M.Tech,Information Technology,Frontend Development,7.35,"React, Node.js, MongoDB",Google Cloud Basics,0.5,IT Services,Web Developer
M.Tech,Computer Science,Frontend Development,7.03,"Vue.js, Express.js, HTML",Infosys Springboard,1,Tech Consulting,Web Developer
B.E,AI & ML,UI/UX,8.64,"Vue.js, Express.js, HTML",Udemy Java,1.5,Product-based,Web Developer
B.Tech,AI & ML,Full Stack Development,6.06,"HTML, CSS, JavaScript",NPTEL Python,0.5,Product-based,Web Developer
B.E,Information Technology,Web Technologies,9.99,"React, Node.js, MongoDB",HackerRank SQL,1.5,Tech Consulting,Web Developer
B.Tech,Information Technology,Full Stack Development,8.64,"Bootstrap, PHP, MySQL",HackerRank SQL,2,Tech Consulting,Web Developer
B.E,AI & ML,UI/UX,8.75,"HTML, CSS, JavaScript",Coursera Web Dev,0.5,Software Development,Web Developer
B.Tech,Software Engineering,Web Technologies,8.05,"React, Node.js, MongoDB",Udemy Java,3,Software Development,Web Developer
B.Tech,Software Engineering,Web Technologies,9.05,"Vue.js, Express.js, HTML",Coursera Web Dev,2,Startups,Web Developer
B.E,Software Engineering,UI/UX,7.81,"Vue.js, Express.js, HTML",Google Cloud Basics,2.5,IT Services,Web Developer
B.Tech,Computer Science,Frontend Development,6.37,"Bootstrap, PHP, MySQL",Udemy Java,3,Startups,Web Developer
B.Tech,Software Engineering,Full Stack Development,9.06,"Vue.js, Express.js, HTML",Coursera Web Dev,0.5,Product-based,Web Developer
B.E,AI & ML,Frontend Development,6.16,"Bootstrap, PHP, MySQL",Infosys Springboard,1.5,Product-based,Web Developer
MCA,Information Technology,UI/UX,9.4,"React, Node.js, MongoDB",Infosys Springboard,2,Product-based,Web Developer
B.Tech,Information Technology,Full Stack Development,9,"React, Node.js, MongoDB",Udemy Java,2.5,IT Services,Web Developer
MCA,Computer Science,React Development,8.33,"HTML, CSS, JavaScript",HackerRank SQL,0,Startups,Web Developer
B.Tech,Software Engineering,Web Technologies,8.05,"Bootstrap, PHP, MySQL",HackerRank SQL,1.5,Startups,Web Developer
B.Tech,AI & ML,Frontend Development,6.27,"React, Node.js, MongoDB",Udemy Java,1,Startups,Web Developer
M.Tech,AI & ML,Full Stack Development,8.56,"React, Node.js, MongoDB",HackerRank SQL,0,Tech Consulting,Web Developer
B.Tech,Information Technology,Frontend Development,6.68,"React, Node.js, MongoDB",Google Cloud Basics,2.5,Software Development,Web Developer
B.Tech,AI & ML,Frontend Development,9.9,"HTML, CSS, JavaScript",NPTEL Python,2.5,Tech Consulting,Web Developer
MCA,Computer Science,UI/UX,6.3,"React, Node.js, MongoDB",Infosys Springboard,3,Software Development,Web Developer
M.Tech,Computer Science,UI/UX,9.08,"React, Node.js, MongoDB",Infosys Springboard,2.5,Startups,Web Developer
B.Tech,Computer Science,React Development,9.12,"Vue.js, Express.js, HTML",Infosys Springboard,1.5,IT Services,Web Developer
B.Tech,Information Technology,Full Stack Development,9.88,"Vue.js, Express.js, HTML",Udemy Java,2.5,Product-based,Web Developer
M.Tech,AI & ML,UI/UX,9.55,"Vue.js, Express.js, HTML",Coursera Web Dev,3,Startups,Web Developer
B.E,Information Technology,Full Stack Development,8.94,"HTML, CSS, JavaScript",Coursera Web Dev,1.5,Tech Consulting,Web Developer
MCA,Computer Science,UI/UX,7.69,"React, Node.js, MongoDB",NPTEL Python,0,Product-based,Web Developer
MCA,Software Engineering,UI/UX,9.38,"Bootstrap, PHP, MySQL",Coursera Web Dev,2.5,Software Development,Web Developer
MCA,Software Engineering,UI/UX,8.9,"HTML, CSS, JavaScript",Coursera Web Dev,3,Startups,Web Developer
B.Tech,Information Technology,UI/UX,9.55,"Vue.js, Express.js, HTML",HackerRank SQL,1.5,IT Services,Web Developer
M.Tech,AI & ML,React Development,8.01,"Bootstrap, PHP, MySQL",Coursera Web Dev,1.5,Tech Consulting,Web Developer
B.Tech,Information Technology,Web Technologies,7.61,"Bootstrap, PHP, MySQL",HackerRank SQL,0,Product-based,Web Developer
B.E,Information Technology,UI/UX,6.87,"Vue.js, Express.js, HTML",Google Cloud Basics,0.5,Software Development,Web Developer
B.E,Information Technology,UI/UX,9.08,"HTML, CSS, JavaScript",Infosys Springboard,1.5,Product-based,Web Developer
MCA,Information Technology,Frontend Development,7.04,"React, Node.js, MongoDB",Infosys Springboard,2,Tech Consulting,Web Developer
B.Tech,Computer Science,Web Technologies,8.03,"Vue.js, Express.js, HTML",HackerRank SQL,1.5,IT Services,Web Developer
B.Tech,Information Technology,Web Technologies,6.91,"Bootstrap, PHP, MySQL",Udemy Java,0.5,Tech Consulting,Web Developer
MCA,Computer Science,UI/UX,6.28,"HTML, CSS, JavaScript",Coursera Web Dev,2.5,IT Services,Web Developer
B.E,AI & ML,UI/UX,7.48,"HTML, CSS, JavaScript",NPTEL Python,2,Startups,Web Developer
M.Tech,Information Technology,UI/UX,6.18,"HTML, CSS, JavaScript",HackerRank SQL,1.5,IT Services,Web Developer
B.Tech,AI & ML,UI/UX,7.66,"HTML, CSS, JavaScript",Infosys Springboard,1.5,IT Services,Web Developer
M.Tech,Computer Science,React Development,7.08,"Vue.js, Express.js, HTML",NPTEL Python,2.5,Product-based,Web Developer
M.Tech,Software Engineering,UI/UX,7.07,"Bootstrap, PHP, MySQL",Coursera Web Dev,0,IT Services,Web Developer
M.Tech,Information Technology,Frontend Development,9.11,"Vue.js, Express.js, HTML",Udemy Java,3,Software Development,Web Developer
B.E,Information Technology,React Development,9.25,"Bootstrap, PHP, MySQL",Infosys Springboard,0.5,Software Development,Web Developer
MCA,AI & ML,Full Stack Development,7.7,"Bootstrap, PHP, MySQL",Udemy Java,1,Tech Consulting,Web Developer
MCA,AI & ML,UI/UX,8.75,"Bootstrap, PHP, MySQL",HackerRank SQL,1,IT Services,Web Developer
B.E,Computer Science,UI/UX,7.04,"HTML, CSS, JavaScript",Coursera Web Dev,1.5,Tech Consulting,Web Developer
M.Tech,Software Engineering,Web Technologies,6.89,"Vue.js, Express.js, HTML",NPTEL Python,1,Startups,Web Developer
B.E,Information Technology,UI/UX,8.89,"React, Node.js, MongoDB",HackerRank SQL,2,Tech Consulting,Web Developer
MCA,Software Engineering,Frontend Development,8.67,"Bootstrap, PHP, MySQL",Google Cloud Basics,3,Software Development,Web Developer
MCA,Information Technology,Full Stack Development,9.68,"HTML, CSS, JavaScript",Udemy Java,1.5,Startups,Web Developer
M.Tech,Information Technology,React Development,9.62,"HTML, CSS, JavaScript",NPTEL Python,1.5,IT Services,Web Developer
B.Tech,Software Engineering,Frontend Development,6.72,"Bootstrap, PHP, MySQL",NPTEL Python,0,Startups,Web Developer
B.E,AI & ML,Web Technologies,6.25,"Vue.js, Express.js, HTML",Infosys Springboard,1,Product-based,Web Developer
B.Tech,Computer Science,React Development,7.88,"Vue.js, Express.js, HTML",Coursera Web Dev,2,IT Services,Web Developer
B.Tech,Information Technology,Full Stack Development,8.9,"Vue.js, Express.js, HTML",Infosys Springboard,1,Startups,Web Developer
B.Tech,Computer Science,React Development,6.11,"React, Node.js, MongoDB",HackerRank SQL,1,Product-based,Web Developer
B.Tech,Software Engineering,Frontend Development,6.54,"HTML, CSS, JavaScript",NPTEL Python,0,Product-based,Web Developer
B.Tech,AI & ML,UI/UX,7.15,"HTML, CSS, JavaScript",Infosys Springboard,1.5,Startups,Web Developer
B.E,AI & ML,React Development,7.31,"HTML, CSS, JavaScript",Udemy Java,1.5,Software Development,Web Developer
B.Tech,Information Technology,Full Stack Development,7,"Bootstrap, PHP, MySQL",Google Cloud Basics,3,Tech Consulting,Web Developer
B.Tech,Software Engineering,Web Technologies,9.07,"Vue.js, Express.js, HTML",NPTEL Python,2,Startups,Web Developer
M.Tech,Information Technology,UI/UX,9.42,"Bootstrap, PHP, MySQL",Coursera Web Dev,2,IT Services,Web Developer
B.Tech,AI & ML,UI/UX,6.41,"React, Node.js, MongoDB",Coursera Web Dev,1.5,Tech Consulting,Web Developer
B.Des,Fine Arts,Graphic Communication,8.55,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,0,Entertainment,UI/UX Designer
B.Tech,Fine Arts,Branding,7.46,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,2,Entertainment,UI/UX Designer
B.Tech,Information Technology,Interaction Design,7.89,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Graphic Design Masterclass,1,FinTech,Graphic Designer
BFA,Fine Arts,Human-Computer Interaction,8.28,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Motion Design Certification,1,IT/Software,Graphic Designer
BCA,Computer Science,Visual Communication,7.38,"Prototyping, UX Strategy, User Journey, Design Thinking",Google UX Design,0,Tech,UI/UX Designer
B.Sc,Information Technology,User Research,8.17,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,2,IT/Software,Graphic Designer
BFA,Computer Science,Visual Communication,7.81,"InDesign, After Effects, Branding, Visual Design",Motion Design Certification,4,Marketing,Graphic Designer
B.Des,Fine Arts,Graphic Communication,8.67,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,3,Entertainment,Graphic Designer
BCA,Information Technology,Branding,9.05,"InDesign, After Effects, Branding, Visual Design",Coursera Graphic Design,0,Entertainment,Graphic Designer
M.Des,Information Technology,Visual Communication,8.29,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,2,Tech,Graphic Designer
B.Des,Information Technology,Branding,9.11,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,3,Marketing,UI/UX Designer
BCA,Design,Human-Computer Interaction,9.31,"Prototyping, UX Strategy, User Journey, Design Thinking",UI/UX Bootcamp by Udemy,1,Tech,UI/UX Designer
B.Sc,Design,Visual Communication,8.56,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,4,Marketing,Graphic Designer
B.Tech,Information Technology,Interaction Design,8.18,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,4,E-Learning,UI/UX Designer
BCA,Applied Arts,User Experience Design,8.34,"Prototyping, UX Strategy, User Journey, Design Thinking",IBM Design Thinking,1,Advertising,UI/UX Designer
BFA,Design,Interaction Design,7.71,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,2,Tech,UI/UX Designer
B.Sc,Computer Science,User Experience Design,8.13,"Prototyping, UX Strategy, User Journey, Design Thinking",UI/UX Bootcamp by Udemy,4,FinTech,UI/UX Designer
B.Des,Design,Branding,7.88,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,0,FinTech,Graphic Designer
B.Sc,Applied Arts,User Research,9.19,"React, CSS, UX Research, Accessibility, UI Flow",IBM Design Thinking,4,IT/Software,UI/UX Designer
M.Des,Design,Visual Communication,8.41,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Adobe Certified Expert,0,IT/Software,Graphic Designer
B.Tech,Information Technology,User Experience Design,8.55,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Coursera Graphic Design,3,Tech,Graphic Designer
BCA,Applied Arts,Human-Computer Interaction,9.06,"React, CSS, UX Research, Accessibility, UI Flow",Google UX Design,2,E-Learning,UI/UX Designer
BCA,Computer Science,Visual Communication,9.16,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Google UX Design,1,Entertainment,UI/UX Designer
BFA,Computer Science,Graphic Communication,8.33,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,2,Advertising,UI/UX Designer
BFA,Fine Arts,User Research,8.59,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Coursera UX Fundamentals,1,Entertainment,UI/UX Designer
B.Tech,Design,Human-Computer Interaction,8.16,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,0,Tech,UI/UX Designer
B.Des,Information Technology,Interaction Design,7.17,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,0,Marketing,Graphic Designer
BCA,Computer Science,Visual Communication,9.42,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Adobe Certified Expert,2,Tech,Graphic Designer
BCA,Applied Arts,Graphic Communication,7.68,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,2,E-Learning,Graphic Designer
B.Des,Information Technology,Branding,8.85,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,2,Marketing,UI/UX Designer
B.Sc,Applied Arts,User Experience Design,7.76,"Prototyping, UX Strategy, User Journey, Design Thinking",UI/UX Bootcamp by Udemy,3,Advertising,UI/UX Designer
B.Sc,Applied Arts,Motion Graphics,8.13,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Coursera Graphic Design,4,Media,Graphic Designer
BCA,Fine Arts,Motion Graphics,9.1,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,4,E-Learning,Graphic Designer
B.Tech,Design,Motion Graphics,9.16,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,2,Marketing,UI/UX Designer
M.Des,Information Technology,Graphic Communication,9.45,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Canva Pro Certification,3,Advertising,Graphic Designer
BCA,Information Technology,User Experience Design,8.72,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,0,E-Learning,UI/UX Designer
B.Des,Computer Science,Human-Computer Interaction,7.2,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,1,Media,Graphic Designer
B.Tech,Computer Science,Visual Communication,8.62,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,2,Tech,UI/UX Designer
B.Des,Applied Arts,Branding,7.27,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,1,IT/Software,UI/UX Designer
BCA,Applied Arts,Interaction Design,8.14,"HTML, CSS, JS, UI Design, Usability Testing",UI/UX Bootcamp by Udemy,3,Tech,UI/UX Designer
M.Des,Computer Science,Branding,8.62,"InDesign, After Effects, Branding, Visual Design",Coursera Graphic Design,2,Tech,Graphic Designer
B.Tech,Fine Arts,Graphic Communication,9.46,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,1,FinTech,Graphic Designer
B.Tech,Applied Arts,Visual Communication,8.93,"Prototyping, UX Strategy, User Journey, Design Thinking",Nielsen Norman UX Certificate,2,Advertising,UI/UX Designer
BFA,Information Technology,Visual Communication,7.4,"HTML, CSS, JS, UI Design, Usability Testing",UI/UX Bootcamp by Udemy,4,Advertising,UI/UX Designer
M.Des,Computer Science,Motion Graphics,7.97,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,2,Advertising,Graphic Designer
BCA,Design,User Experience Design,8.78,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Graphic Design Masterclass,2,IT/Software,Graphic Designer
B.Tech,Information Technology,Visual Communication,7.67,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,4,Entertainment,Graphic Designer
BFA,Fine Arts,Graphic Communication,7.99,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,0,E-Learning,UI/UX Designer
B.Sc,Computer Science,Branding,8.14,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,4,Media,Graphic Designer
BCA,Design,Graphic Communication,8.93,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,2,IT/Software,Graphic Designer
B.Tech,Applied Arts,Human-Computer Interaction,7.1,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,3,Marketing,UI/UX Designer
BFA,Fine Arts,Motion Graphics,8.28,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Motion Design Certification,0,Entertainment,Graphic Designer
B.Tech,Computer Science,Graphic Communication,7.78,"React, CSS, UX Research, Accessibility, UI Flow",IBM Design Thinking,1,Marketing,UI/UX Designer
BCA,Information Technology,Motion Graphics,7.91,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,0,FinTech,Graphic Designer
BFA,Applied Arts,User Experience Design,8.7,"Prototyping, UX Strategy, User Journey, Design Thinking",Coursera UX Fundamentals,1,Marketing,UI/UX Designer
B.Sc,Design,Graphic Communication,7.17,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,4,Tech,Graphic Designer
BFA,Applied Arts,Visual Communication,9.06,"React, CSS, UX Research, Accessibility, UI Flow",UI/UX Bootcamp by Udemy,3,Media,UI/UX Designer
B.Des,Computer Science,Visual Communication,8.5,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Canva Pro Certification,3,Entertainment,Graphic Designer
BCA,Applied Arts,Visual Communication,8.58,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Graphic Design Masterclass,3,Marketing,Graphic Designer
BCA,Applied Arts,Visual Communication,7.12,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Canva Pro Certification,4,Media,Graphic Designer
B.Sc,Applied Arts,Branding,8.81,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,3,E-Learning,UI/UX Designer
BFA,Design,User Experience Design,8.59,"HTML, CSS, JS, UI Design, Usability Testing",Google UX Design,4,IT/Software,UI/UX Designer
BCA,Computer Science,Interaction Design,8.52,"HTML, CSS, JS, UI Design, Usability Testing",Coursera UX Fundamentals,1,Advertising,UI/UX Designer
M.Des,Design,User Research,7.93,"InDesign, After Effects, Branding, Visual Design",Coursera Graphic Design,4,Advertising,Graphic Designer
M.Des,Applied Arts,Motion Graphics,8.97,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Canva Pro Certification,2,Media,Graphic Designer
